id,object_id,school,type_of_school,region,province,legislative,division,municipality,district,barangay,total_enrollees,total_instructors,color_code,gps_source,count,school_type,color_zone,annual_per_capita_poverty_threshold_2018,poverty_incidence_among_families,population_as_of_may_2020,unemployment_rate_per_region
130288,4577,DATU BINASING ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,DATU BINASING,303,6,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130290,4578,LIBUNGAN TORRETA ES,MOTHER SCHOOL,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,LIBUNGAN TORRETA,592,12,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130291,4579,LOWER PANGANGCALAN PS,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,LOWER PANGANGCALAN,161,2,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130292,4580,MALAGAKIT ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,MALAGAKIT,111,3,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130294,4581,MATILAC ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,MATILAC,432,7,RED,SEDIP,1,1,HOT COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130297,4582,PIGCAWAYAN CES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,POBLACION ,1639,35,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130298,4583,PRADO ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,BULACANON,332,9,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130299,4584,SIMSIMAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,SIMSIMAN,461,10,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130302,4585,UPPER PANGANGCALAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,UPPER PANGANGCALAN,136,3,BLUE,SEDIP,1,1,HOT COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130289,4586,KADINGILAN PS,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,KADINGILAN,162,2,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130296,4587,NORTH MANUANGAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN NORTH,NORTH MANUANGAN,247,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130300,4588,TUBON ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIGKAWAYAN,PIGCAWAYAN SOUTH,TUBON,122,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130326,4589,KABASALAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT WEST,KABASALAN,858,6,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130304,4590,BALATIKAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT EAST,BALATIKAN,251,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130306,4591,BATULAWAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT EAST,BATULAWAN,845,13,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130307,4592,DALINGAOEN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,DALENGAOEN,251,4,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130313,4593,PANICUPAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,PANICUPAN,363,4,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130315,4594,TAKEPAN CES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,TAKEPAN,484,14,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130316,4595,BAGOINGED ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,BAGOINGED,312,2,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130334,4596,BALONG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT WEST,BALONG,467,5,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130318,4597,BULIOK ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,BULIOK,257,7,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130319,4598,BULOD ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,BULOD,263,4,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130320,4599,BULOL ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,BULOL,303,3,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130321,4600,CALAWAG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,CALAWAG,286,5,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130338,4601,GINATILAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,GINATILAN,233,6,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130324,4602,GLIGLI ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,GLIGLI,448,8,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130325,4603,INUG-UG ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,INUGUG,350,9,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130327,4604,LADTINGAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,LADTINGAN,485,14,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130340,4605,LAGUNDE ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,LAGUNDE,392,8,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130342,4606,MACABUAL ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT WEST,MACABUAL,400,0,BLACK,SEDIP,1,1,HOT COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130344,4607,MANAULANAN ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT NORTH,MANAULANAN,690,14,YELLOW,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130330,4608,PIKIT CES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,POBLACION,2197,48,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130347,4609,PUNOL ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT WEST,PUNOL,580,2,RED,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130331,4610,RAJAH MUDA ES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT SOUTH,RAJAH MUDA,444,8,GOLD,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
130348,4611,SILIK CES,SCHOOL WITH NO ANNEXES,REGION XII,NORTH COTABATO,1ST,NORTH COTABATO,PIKIT,PIKIT WEST,SILIK,400,9,BLUE,SEDIP,1,1,COOL COLOR ZONE,25019.64478,23.56454324,1490618,9.083212237
